DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
shoes,-0.35305154936078076,-0.37456632923207495,-0.49757602071236123,-0.08595161558206797,0.07325003386196331,-0.03379899099335617,-0.2089120674188917,0.004001738136845667,-0.09766590863024971,-0.07265702444666287,-0.09418248154605302,0.031126063929934965,0.12505034776864665,0.011725803668841172,-0.028679235533561994,0.0187491466973354,0.002888361674739338,0.01626580424921203,-0.0014307949546387188
acting,-0.82214885560673,-0.9272183565460351,-2.3372719607781933,0.8439827972604431,1.3186319382533758,-0.5162495848930782,0.37204238765127884,-0.3487983215670123,0.3713405816815422,-0.12406635763230255,-0.07556137231910202,0.15161906768060923,0.0016652600190410509,0.09424388258318427,0.03658368955724068,0.009595504426964283,0.0002653441256303586,0.018264407784581726,-0.03928526877496357
philosophy,1.8794142329531027,-1.7084780924490075,-0.705404697982909,-0.1711036480606896,-0.44141215125626365,0.2675918426137106,-0.158742798661078,-0.1319740974353577,0.04858741280856141,0.08812501744255238,0.009387702049174567,-0.11767244258729474,-0.07303428729491539,-0.007238337666039293,-0.0448446548874232,-0.050807118960574715,0.004092638360675368,-0.019890426742494173,-0.01122133775682571
swimming,-3.8559026471297577,2.809465523611902,0.16531910568796457,0.27035161412622705,-0.19597259247488713,-0.04883087649034443,0.01762667566152099,0.02174315846657562,0.012468718665958313,-0.02703275537587614,-0.006550693058154937,-0.05484657308376349,-0.01472206930887961,0.002593479341088244,0.03580143839986698,0.0030448913003047052,0.039843886517188745,0.036324320254708255,0.005059421195820988
hugs,2.009342779184963,0.3532546681095651,-1.9974341487982796,0.24706561354381867,0.1596399531022056,-0.0968683050155066,-0.21964359628947727,0.2925959553853101,0.02248996646219427,0.004836302172305775,0.04467037725379743,0.12577282740222942,-0.0019344501451060612,0.08993217679840702,0.020671897398448814,0.01610877197253013,0.03439607937799167,0.001371729918588416,0.02785370404770731
sex,4.129860050914426,-2.8803753661492344,-1.8872693545628034,-0.41060358066546254,0.7052048929763468,0.638841650221715,0.2061849951125983,-0.13291612574816242,-0.23670097656740124,0.07577653562234515,0.19298699321228552,0.01336398759227673,0.012598978834341636,-0.004633395940238666,0.06472666279536896,0.0035709894607050445,0.0240060096541135,-0.03581100794273465,-0.008221527411831105
guys,-6.175882492119029,0.8919606982196022,0.3529018943561917,-0.2227154289621381,0.17522401547286962,0.14129675457829727,-0.12723592533737388,0.055487254044487344,-0.03135593021411076,-0.16297287648261424,0.05807214370970558,-0.03726972261835615,-0.060571843454716424,-0.049055136192885165,0.052220068670615474,0.021720844337244874,0.01874176308862326,0.02053083441860868,-0.00788469186118338
love,5.962100908393169,1.27365492247504,-1.3951108606450604,-0.5951752804186642,0.7354550421288565,0.4045522114435133,-0.04381484879446186,0.15647141079536914,0.03945523862961474,-0.14158636328679766,-0.1509154670807082,0.13291555049140244,-0.024783049578077327,-0.07659228002183359,-0.005071957814627149,0.03023512682575669,0.012111613009974286,0.007623123810491129,0.01692373247512778
internet,-0.7024045575880277,-1.8546822618275884,0.9181878760777943,0.029876828433911838,0.15395043702119665,-0.0629851990326643,-0.388373642080338,-0.23257100317024354,0.06484144647373573,-0.05567312437254764,0.14540670169240055,0.0772790022093401,-0.1316004419693725,0.027465229199882972,0.036184190126907566,0.03479270400752176,-0.01860148832026011,0.00011584054738923128,-0.018433987543633942
travel,0.5893736281827361,-3.410278970190949,-0.5248549249342827,0.40785579431083774,-0.8122050681525861,0.18059096378108105,-0.01326049716415618,-0.09891239381651029,-0.033531943875534945,0.04491943851224267,-0.08154309395306537,-0.10819835592617286,-0.04634596818359807,0.02892839025852809,0.024270668901554875,0.0252045179598364,-0.0026071130424396424,0.031544950611767535,-0.0077576365230636905
