DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,Gender,Personality,Meta
talking,-4.565012811,0.538689653,-0.173919844,-0.100094166,0.144165732,-0.023351622,0.014160144,-0.073002504,0.047743484,0.021256759,-0.026221176,-0.096922495,0.01333,0.058518231,0.019144263,-0.021819399,-0.005147729,0.023207049,0.002681316,None,None,None
cars,-5.165009165,-0.789710824,-0.128200293,0.237733056,0.01682844,0.179055038,0.136782316,0.077951444,0.136000929,0.087897152,0.04095305,0.074664281,-0.080947579,-0.010482355,-0.006685771,0.02100658,-0.002689048,-0.008211948,-0.004867589,None,None,None
harry potter,7.340498678,-0.660949296,1.802439509,-0.517280425,1.052689648,-0.308733813,-0.524371487,0.068534166,-0.193781305,-0.00454095,0.011278356,0.032804171,0.154782959,0.02691336,0.031754156,0.007713489,-0.021229332,-0.006103046,0.020235205,None,None,None
history,4.147772671,-2.468086928,-0.958348037,0.620112279,0.470106336,-0.03727947,0.206572139,-0.02041344,0.030093568,0.037090886,-0.088652999,0.029812381,-0.065748301,0.073934348,-0.005639997,0.022181207,-0.026141396,-0.001130579,0.003404063,None,None,None
guitar,-2.945176968,0.637815526,-0.452624737,-0.02934622,0.031853526,0.109842256,-0.011163232,-0.003765189,0.000238087,0.028961842,0.039905837,0.030228286,0.019287315,0.051311935,-0.015818479,0.064736569,0.024153154,-0.02246759,0.00108713,None,None,None
johnny depp,1.565246835,-0.634174656,0.594436862,-0.499907803,-0.049297027,-0.497134212,-0.148849347,-0.126031749,-0.082683809,-0.055332004,0.05275835,-0.009894279,-0.009816079,0.0271637,-0.028827697,0.022144464,0.027162323,0.019671792,0.033226664,None,None,None
driving,-2.84082924,0.461458968,-0.518758558,0.350562176,-0.221046067,-0.030553281,0.313037646,-0.103778118,0.067221197,0.046220171,-0.061433076,-0.003125791,-0.002157012,0.025054234,0.008765287,0.038531641,-0.016874204,0.002533925,-0.004779328,None,None,None
linkin park,-3.825394473,-0.643216148,1.144862598,-0.123302335,-0.271166411,-0.423157544,0.016724076,0.013660066,0.171069114,0.021091382,0.056954383,-0.070811336,-0.067314761,0.014565674,-0.000712855,-0.019576146,-0.010909335,-0.038960117,-0.006188152,None,None,None
the beatles,1.387363304,-1.049285117,-0.549236611,0.083868658,-0.042208738,-0.327251232,-0.310661997,0.052191889,-0.016160172,-0.034187449,-0.047444236,0.100995322,-0.045351743,0.034371534,0.011193607,-0.005883741,-0.006898187,-0.030265471,0.009356703,None,None,None
cheese,-0.897892313,0.357308606,-0.970893825,0.38919067,0.16670716,0.126263164,-0.113627284,-0.227976407,0.03331874,-0.004530793,0.068160975,0.031080251,0.053172361,0.031357084,-0.048391392,0.006105471,-0.020471838,0.010262449,-0.013290919,None,None,None
politics,0.888053259,-2.35090492,-0.2206992,0.693443935,-0.02159527,0.25487321,-0.021724817,-0.084661248,-0.119084069,-0.071822203,-0.118200527,0.041931999,0.061262837,0.07119017,-0.065606006,-0.027280801,-0.009705507,0.000499308,0.001633719,Male,None,None
boys,-3.42280429,1.318813449,-0.654417104,-0.827651236,0.268965944,0.378524891,-0.255923858,0.212301708,0.147388872,0.003258656,-0.10499549,0.030758004,-0.034990992,0.08653638,0.003081292,-0.003333938,0.018330467,-0.01358684,0.004601302,None,None,None
fashion,1.975547391,-3.508876046,1.400104012,-1.092077086,-0.346910282,-0.029392417,-0.032394328,0.660147013,-0.180774573,-0.121502977,-0.057338714,0.0814278,-0.063166783,-0.097001701,-0.026568442,0.035090396,-0.004391949,0.012590645,0.002353753,None,None,None
video games,-0.220406926,1.249851214,0.526752273,0.547181597,0.155716973,0.03495842,0.415784065,0.004552343,0.136267622,-0.029765123,0.050622022,0.067241935,-0.033310381,0.078841326,-0.034132096,0.001365413,0.025350105,0.004904418,-0.018891778,None,Extraversion,Plasticity
running,-5.29323007,0.043461955,0.145619602,0.530762276,0.045420887,-0.170274908,-0.041205471,0.087961254,-0.083018346,-0.053609455,-0.050465949,0.094432953,-0.055684168,-0.04468888,-0.044242705,-0.050681181,-0.002170067,0.003223347,-0.007629346,None,None,None
nirvana,-1.910083563,-0.411550228,-0.000430748,-0.290398187,-0.5838957,-0.224401691,-0.037201712,-0.077418362,0.168376801,-0.049305854,0.040981038,0.038634589,-0.095261461,0.106750393,0.021975766,0.041685739,-0.005106433,0.000850586,0.002997229,None,None,None
music,1.743306914,10.26794108,1.252485558,0.128839108,0.071387626,0.548841011,0.172715178,0.058161695,-0.193850233,0.005943117,-0.009120352,0.039969126,-0.082603667,0.018172992,0.005121432,0.026145314,0.014390835,-0.007547049,0.003668305,None,None,None
clothes,-2.458373025,-0.856381537,0.164691347,-0.703979263,-0.07654084,-0.061173173,-0.109008899,0.231354671,0.020582858,-0.032848979,-0.073994232,0.028927758,-0.03288893,-0.022052826,-0.017423249,0.037100945,-0.025927394,0.019854047,0.019916472,None,None,None
eating,-4.025001266,-0.339733715,-0.51518676,-0.144385339,0.416244946,0.032665042,0.13875649,-0.01258694,0.027001637,-0.017604148,0.043467239,0.07521553,0.089128081,-0.026830443,-0.050092376,0.023438679,-0.019870389,0.00963174,-0.013693275,None,None,None
anime,3.266384376,1.030714648,2.928812029,0.187837817,0.383649719,0.020585955,0.404578401,-0.173020936,0.632779457,0.058181166,-0.076386083,-0.001720144,0.030161532,-0.08980858,-0.002383539,0.009792983,-0.004376941,-0.007817455,0.006607705,None,Extraversion,Plasticity
hiking,-2.49516369,-1.510213958,-0.166111986,1.446533758,-0.097691381,0.025756587,-0.064648588,-0.173279795,-0.049465856,-0.11153829,-0.054160527,0.023513303,0.001156664,-0.088991646,-0.011041166,-0.006032092,0.039748261,-0.0007963,0.022835117,None,None,None
piercings,1.147025944,-0.139157517,0.488432362,-0.276848196,-1.12775586,0.015354826,-0.055291974,0.114551906,-0.011237018,0.247847188,0.038557,-0.024142576,0.064707172,-0.022783798,-0.014113268,0.014524783,-0.002770547,-0.005769668,-0.00677686,None,None,None
fanfiction,4.076700654,-4.400304443,3.97466242,-1.188441931,1.131508724,0.530109123,0.026993811,-0.457119248,-0.372923882,0.154045619,0.013199049,0.05872189,-0.059497705,-0.006622727,-0.032493272,-0.033374819,0.016312237,-0.001807027,-0.009539545,None,None,None
