DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
shoes,-0.24475510474962112,-0.3925268513138603,-0.6081618924422669,-0.08432820386567107,0.038995446926565085,-0.032080272051951575,-0.21902651991056515,-0.07757502504573137,-0.0030798651506608347,-0.07433076024573165,-0.059111941192469056,0.011787602289468383,-0.0769867764507407,0.11122380875329561,0.0071017797610843595,-0.04958964428187596,0.003638946564538526,0.007871091057044201,-0.0124007663813865
acting,-0.8233373980930081,-0.7692334978913403,-2.3730084791029795,0.3833260764878998,1.4427399383673187,-0.5338058738504813,0.5431359720692026,-0.2594802327400437,0.22285636429724304,-0.01922515692420395,-0.11616205079237554,0.2079043334715683,-0.048315755424925645,-0.04777594203039931,-0.03360956420965124,0.0025593034880930948,-0.005093074612532414,0.01706048217829169,-0.037378730927416046
philosophy,1.872389282340765,-1.661722609963708,-0.6815537175578473,0.10354865166801888,-0.44667594575279257,0.2968304148032787,-0.06821777849121678,-0.14762747395271908,0.021332361612233338,0.04775868553359735,-0.005040198660678039,-0.13920424234570078,0.00019983710106266132,-0.04630379646657687,0.04881985585816827,0.015027208382050076,0.02091066831240503,-0.02216057636785882,-0.001398288779729262
swimming,-3.7219239301450076,2.921810237943582,0.31350976616834086,0.3116775806811325,-0.05657279191827579,-0.1358060060445056,0.11968046217490193,0.06593019200261595,0.021434509647748245,-0.02288671218130928,0.002331800011728365,-0.04325742726344568,-0.020808870690309858,-0.026859698899243195,-0.058176798837388286,0.0005007515779124957,0.057437982487611304,0.021666373122483495,0.008790921457820618
hugs,2.04090983827502,0.357531129817587,-2.107250672697685,0.21997149332897395,0.1379853287471896,-0.12952370858992793,-0.17834987053128756,0.23618349407038472,0.1075961881541794,0.049580288576432804,0.014646871926851013,0.11839887854605491,-0.05685049773821967,-0.06585813955466617,-0.039210208634490984,-0.01824303363104639,0.03463629700367,-0.01890056998797494,0.03273299690451188
sex,4.224094884194328,-2.95919977970898,-2.1287049818432613,-0.5418098905885451,0.6887979539743623,0.5403479593766163,0.1517142962142105,-0.05690781870024543,-0.2722806147680113,0.07238602013786545,0.19111739650311238,-0.010233314675296744,0.02842970132638939,0.005918678526076019,-0.05613974290392872,0.03433432681683147,0.016529658887029577,-0.01997152636247808,-0.012933429824726055
guys,-6.059182891417585,1.0269091215243598,0.25281835438655476,-0.25353995557820863,0.10750213066175678,0.10810293707785162,-0.09286029514088624,0.017879079225513145,0.08794254475557622,-0.1426457837913482,0.09368265513826741,0.005830773932057122,0.07726250166853763,0.011986150134708195,-0.0538624207845485,-0.005919459868658273,0.009048887093644693,0.024628876296892487,-0.004081704892344511
love,6.2788649189792425,1.1811110023420122,-1.428219241731024,-0.826967710189316,0.46417510038517207,0.36430072041345796,-0.07074900871700915,0.16276439532317938,0.05110722113574698,-0.0978568227514406,-0.10987640800279229,0.13020050165751973,0.07558770714978554,0.026055902758711495,-0.01816748473841782,-0.023592710878443036,0.014431523675504427,-0.003315995942578601,0.019908272116430932
internet,-0.7865003750100995,-1.9364036336999035,0.7703213273004438,-0.10277691052599643,0.10888586187558598,-0.14393108091750303,-0.18875954999049613,-0.3267463743795562,0.1583734283760943,0.07389134009003774,0.10674448472675765,0.008530387995802486,0.12862926934572252,-0.09777922896636584,-0.03536503065757234,-0.0015718075549586265,-0.022639581318611653,0.021473161437408916,-0.020550208510254846
travel,0.09180630685738103,-3.242000051673801,-0.31098349557880633,0.6737014656143432,-0.6171578706189315,0.22637111243435362,-0.035657302544298435,-0.051846884502995204,-0.06098978734959554,-0.015590037510434852,-0.09217559324638704,-0.08625512816402141,0.007589896688553655,-0.04793701119592049,-0.019137531838139835,-0.007372260637299738,-0.008078250115121612,0.03168207618436132,-0.0051065511808678745
drawing,0.3034738751730078,1.1696033883053005,2.3147291038049778,-0.29918956623945075,-0.38319354364295843,-0.2582148033507576,0.06727984226483268,-0.4935025561394723,0.14155743623036524,0.08332770806486912,0.024009138372311126,0.11521294500095931,-0.034702196482096576,0.017468598366843693,-0.0018919119626682182,0.008966547071541268,-0.02343176630675439,0.015351109800849822,0.0009318785698343208
radiohead,2.478481746768184,-1.2700086001192046,-2.4694608770578776,-0.33697011397822796,-0.5856581996744572,0.07116867780066584,-0.02966406107194673,0.1653570240186625,-0.2122453503336716,0.28685525212642443,-0.15756163349514404,-0.04599919668827361,-0.022172673605223747,-0.0832553715889589,-0.004663649600356287,-0.017246541871726806,-0.06267630229851734,0.03936072422614456,-0.008591542235415955
fantasy,3.162564422593811,-3.3507209585533233,0.5558744256050125,1.29257975306548,0.14070548792957138,0.8650029071218012,-0.14383143390309738,0.17222671881518267,0.3547165006326298,-0.03695490479091888,-0.09405025815820002,-0.04166059339740843,-0.009759579583013423,0.025901869292416863,-0.022506553131267686,-0.018224821939142443,-0.024364093424094665,-0.007089966909066731,0.012570116203768337
books,7.346904562792773,-0.37500951018319545,0.3811504291197757,0.7782962207524265,0.17666227859269534,-0.1710711646759813,0.0827766137408971,0.08847494849623012,-0.14882347477508925,-0.06774351933652545,-0.06328992683120599,-0.047479003068025334,0.021331422895932997,-0.02717869234059388,-0.008870318096401094,0.06157681735754877,-0.04657509504161834,-0.009132611571986362,-0.002814917343518939
snowboarding,-6.577328806614944,0.5677118851951456,0.3073231305091578,-0.11597492341727722,-0.5800718882137234,0.284800734067243,-0.2575257705707924,-0.009213901600552996,-0.12913222384639084,0.1168559953766641,0.10218924226655678,-0.05908213946768698,-0.04098811276627237,-0.060502229400423505,-0.046626319004155106,-0.046797430239064144,-0.023192966207541063,-0.004737750203606104,-0.004574262445612209
literature,1.5840442899041696,-3.230899161312449,0.1370305389184435,0.2296993386407793,-0.09350805394604378,-0.0495147098080082,0.08831946488379128,0.005945911114941654,-0.09000934360205129,0.016844975143477353,0.013355788462983591,-0.10962901256715255,0.027373866114835665,-0.026980786243719274,-0.005903986428131451,-0.004689130450796345,0.043936113433632774,-0.0004782863075687863,-0.00435666176669228
animals,-1.3544940073186604,-0.9081315272911403,1.2207001658699965,-0.20721371264064656,-0.48775486927327366,0.033133061754862324,-0.0598818042613035,-0.22875880479176655,-0.006312239388277235,-0.19168539299721865,0.05009923548343188,0.02705415019876752,0.05101068826099144,-0.0042586076899720805,0.036599143885230695,-0.021695670402527227,-0.03918602045209289,-0.023627420813383187,0.02696382746522455
dancing,1.1363668042684147,3.1380100628251544,-1.477515089211757,0.4858699037260568,0.5486230704093477,0.1259157223021296,-0.10258812220637967,-0.10795412938097386,-0.06726236589004808,-0.013463271648095581,0.06656553321275904,0.048330313096234735,-0.03587701326974341,-0.004663799766081646,-0.03412802958920445,-0.033080097501646914,0.03719352686139526,-0.02170342621033188,0.0053631306541806175
drinking,-3.886484430314071,-0.9368734765977166,-0.5352965988330929,0.1498593139710148,0.020376179667377658,-0.041270254790030894,0.5089572071255476,0.17429475613844725,-0.1399592608668536,0.042631019530496736,0.05020510300880663,0.11262754296479909,-0.0202369173540853,0.06174844149839466,0.020887715779908052,0.0031521765888528268,-0.013179861559240474,-0.006280010316283748,0.018416516649640932
psychology,2.0937863436538775,-1.7412912404333591,-0.03770691136657416,-0.05482651631877354,-0.754385010189213,-0.20465259115444273,0.033147221164824894,0.1507105860783131,-0.02449291880927661,0.001009466190705633,0.049620877740971216,-0.0154870626586525,0.039213397641111467,-0.01573627198924185,0.014232321724686891,-0.04356732924705987,0.006220517334330334,-0.0015026371548101612,0.0018645003169316476
sleep,0.47216934086170853,-0.08816185510587456,-1.1044827663980123,0.18391707811724708,-0.13845211875909108,-0.04433915978369762,0.02581845085221864,0.033718453097121924,0.07420779622996249,0.12219940823059423,0.0800073409894972,-0.02781919924909898,-0.02792929800266827,0.01718818008203218,0.030304072292248685,0.027620028118534312,0.0005586886126724929,0.03188869787727598,0.007098308432887236
tv,-4.627740024619357,-0.9017106632332155,1.4135986145405413,-0.22939966833185335,0.27947097336268356,0.22808766951282816,-0.1809862818929553,-0.08713278892500029,-0.10801795926578377,-0.13994858803204221,-0.019525361631029806,0.021697675887537578,0.026577037238163684,-0.005401814267744129,0.008353895318481892,0.016712036881654513,-0.020843270746577044,0.04084405539798259,0.026992032459972767
talking,-4.123244371753674,1.1752641343311812,-0.315803015684561,-0.0593889913459161,0.16847688288432028,-0.054479862036972866,-0.09225449732139086,0.026472152918631475,0.0777524308757313,-0.05047086503731775,0.015129357344587487,0.03925046150812492,0.03501025555544829,-0.04268736522475825,-0.009334067796658303,0.0058793664694235985,0.022861752985494317,0.010160351831590851,0.0050044397335354115
cars,-5.109263068897846,-0.061579999027993236,-0.14769405256841947,-0.07476699639456404,-0.09083729445249143,0.16409499931206048,0.07387334958569133,-0.09089890610102806,0.11061441539331053,0.06221017860809524,0.009875574162759717,-0.17281899346517873,-0.05706103149635895,-0.010155730886907804,0.01716014929290751,0.011068167728104152,-0.01998190666272027,-0.02066627253825272,-0.011850400737187418
harry potter,5.209363761348447,-1.9722359861487389,3.254817983374824,0.6059586847868064,0.40503856136716065,-0.30747491200209964,-0.437407517326228,0.14269674234991953,-0.2452758402022967,-0.1096975961732258,0.04958245215839544,0.24388102733271327,-0.043235855897909986,0.02227418434457722,-0.029680830930517186,0.02550732559479805,-0.018012505607040024,-0.0010872435331828482,-0.036757934526552065
history,2.2816023993880847,-2.5384565783794755,-0.2467064519319823,0.85251125807784,-0.13530304729233003,0.027801347996000748,-0.0061575414597316,-0.009938455920799496,-0.04196308086854392,0.013669902953682915,-0.031368143246515996,-0.14688670442604326,0.0651576081447655,0.04869025203321301,0.0284624780929327,0.011546516887501095,0.010493612311297073,-0.018664670871252762,-0.021953180765441106
guitar,-2.246607416151824,1.1345769403324666,-0.7824855464859651,-0.0976767840249247,0.10532472013749385,0.03156082274062973,-0.02860797060275496,0.06740137228391532,-0.1544208298713891,0.13533004934476472,0.0728140498909739,0.05188191629540805,-0.0073207297671588345,-0.022740341113151246,0.042627564084958894,0.009246436307263751,-0.055114724515127944,-0.01963341657028191,-0.003866305698177034
johnny depp,1.5991804651069477,-1.0117020702377033,0.6394625919213835,-0.06648196687896278,-0.18750979540969134,-0.512393472753426,0.02753313674854578,0.28049486597108103,0.01169998881163073,-0.008362206709059244,0.07558413529878799,0.019055234116717817,0.011815360487264698,0.04595594495254184,0.05442465004545147,-0.027501289357633334,-0.02072022823901129,0.02984411884716262,-0.030956134042230722
driving,-2.422997280533207,1.004605677409899,-0.7251923779682413,-0.07173876344290818,-0.3576003668572703,-0.10115600195369683,0.08347408691140791,0.0882997826111745,-0.00017658315688529725,-0.005156166988735148,-0.06880378862863,-0.08643201152882124,-0.049255080861567546,-0.034608937276824354,0.017605637103412945,0.02743727615655076,-0.023043787303197682,0.002032860120662455,0.009116600215045288
linkin park,-3.6728285280507156,-0.492272765035443,1.1571010587254045,-0.39876472251395684,-0.4268221766226051,-0.5059146550204253,0.07880684500098195,0.14324116920359742,0.19591701253194682,0.047255999472869153,0.003824584232679048,0.04364650134180251,0.0521033302537627,-0.0656018229409324,-0.019322891511607702,0.008313580021963014,0.016667879852962867,-0.033935415100863835,-0.0016017376289906241
the beatles,1.3116540953734994,-0.826778344719508,-1.0951509350279032,-0.04779294950399309,-0.4359364215821708,-0.13478019378526343,-0.48456127927519366,-0.03972669079216144,-0.3415015368956613,0.16794452924527709,-0.057742371513809475,0.026849535064879526,0.05637810722977879,-0.020311791492869834,0.012521555172396304,0.026294952412365003,-0.002536329705002929,-0.00995816619029616,-0.011252910925353236
cheese,-0.8323584155690881,0.7156145422181973,-0.77306145595079,0.5931387968989407,-0.06840164632632112,0.3068362903498776,0.00736610347796512,0.13284410639401983,0.043174541017189566,0.16757622464387553,0.04257284358451679,0.11626982580997794,-0.02232674537965554,0.016942508861536133,0.05024614968864875,-0.013030697116771659,0.004401748304506439,-0.0020215918105660263,0.009326024484570747
politics,0.006891665566271976,-2.324676092333063,0.03953137638414827,0.18098130188803468,-0.31626145274495965,0.3228415318536772,-0.05712801098740096,0.08578395295401221,-0.28386434553030804,0.045330625025857434,-0.028747164913954182,0.009881127991193228,0.020016305226260724,0.019924605535569868,0.035438866630726894,-0.017792456709927452,0.06851184821425993,-0.011566422981849922,-0.007133630404614847
boys,-2.5642540180994655,1.8935057385819294,-0.9720523911591814,-0.15631304318959632,0.6452448218240316,0.2777422433750426,-0.37183018945167473,-0.028108479025184548,0.01881480292055647,-0.12890077995668311,0.019243494762511804,0.016164159047305605,0.06048519236913145,0.07467780800806352,-0.01970093153957892,0.0053485292343168275,-0.023051482520535533,-0.010980706080638536,0.0014260887017719607
fashion,2.134069044805458,-4.154972556950278,0.04832817729744942,-1.0434427517384246,0.5429688761300517,-0.2130984508588664,-0.1827194691244256,-0.4358641906708781,-0.36707821845578437,-0.12231673372985008,0.02452000060895393,-0.014753280932233706,-0.12636664938649209,0.05059731030933035,0.01426292200290009,-0.03833050765273533,-0.024864821887484064,-0.008543652819347039,0.0067167533580282535
video games,0.0829220902491192,0.9053769360506543,0.7893635889413111,0.283260301830781,0.14059651238737747,0.06100179919314168,0.2236432966490089,-0.20157861973245672,0.1411543741848397,0.14237206982373116,0.010648334534714006,0.02742519241166517,-0.04311127027752928,0.07328254422154852,0.027510341140049552,0.03210410371388905,-0.006658997044590998,0.002417067243108126,0.04558736344856946
running,-5.424515526439175,0.6529101408216561,0.4608098864474809,0.12397161086156377,-0.4069554530495897,-0.1002042712492863,0.0676666834718869,-0.12205683632905644,-0.09908475552582457,-0.060300881593724036,-0.080146007962851,-0.06582095544410689,-0.055152904367805615,0.06751553111984153,-0.005642801097308934,-0.014260964042847327,0.06425686587270238,0.004168970028684387,-0.008348172893971866
nirvana,-1.2209101826477886,-0.18599445952351998,-0.6997022004654838,-0.5971140882421186,-0.35964479585765957,-0.18913277819653837,0.006133506063423935,0.0596090110872904,0.14013268636544737,0.07709454700344258,-0.04159252036574544,-0.0500754165484466,0.10399106148985826,0.03085411825191173,0.011871743835414577,0.05730349842400737,-0.03649126889297329,0.008613012138343168,-0.014906398752817112
music,4.096098796600815,9.923558343137374,2.7232589116450145,-0.481960451212375,0.4197909744300613,0.35012055895331834,0.20241212545848922,-0.040611402896928786,-0.29153490218633377,0.15148992165909242,-0.01845549871933637,-0.10761669134674783,0.06447828325484613,0.021494099234392616,0.03347323584390973,-0.044621843677987626,-0.023889388402846216,-0.03150199684503233,-0.009397135421151795
clothes,-1.9709862592891159,-0.7391008937646479,-0.5471679779585642,-0.29133045433057164,0.312687578779883,-0.1465143081372078,-0.11950792937290741,-0.14110011353324997,0.04401374558946714,-0.14558059994543548,0.015144916997995039,-0.0639611110176927,-0.03540349583934851,0.06576787657117586,0.024928221789101607,0.0027857483452752006,0.004770217129580119,0.018208678155622788,-0.01923928028100795
eating,-3.987363247247745,0.24807167819176326,-0.6383399161201528,0.18087131112215296,0.45130491032782377,-0.0014252245621451723,-0.035990448207185416,-0.11527007678468852,0.012092144223553758,0.0827725255182278,-0.05239967529791794,0.04094598999212676,-0.12128298128991825,0.04474470264799348,0.030091883789738122,0.043849142678476304,0.034770098887363314,0.002142089988622691,0.008316493152820986
anime,3.5097427007602766,-0.4407167758949582,3.571508947094585,-0.11353358297336319,0.4654467696888217,-0.03633940476690668,-0.08060952066175317,-0.13152921882852417,0.47277793914472654,0.38929129513135763,-0.15486202297313825,-0.042590826659937915,-0.051431252186298904,0.004367663875304374,-0.009257607024445225,-0.014346772932313095,0.006235377340531448,-0.0021178437260446874,-0.0008605832752647658
hiking,-3.541983652875566,-1.4284012640795627,0.4022389621430387,0.7341969326833208,-0.79743429829455,0.10332198338146252,0.4164686443281715,0.1008736683960937,0.015763931348695765,-0.0472311703657419,-0.1981982146274013,-0.0026430132211891556,-0.01180181302778932,0.01615126258172673,-0.016385702625503394,-0.05360201173175894,0.01900302086470876,0.012876624635739865,-0.018441380874873767
piercings,2.0403528044212087,-0.5101484794534696,-0.49470127003129977,-0.9649550925047453,-0.5567573918048487,-0.03687511069518142,0.09210932640902321,-0.004350470286308122,0.13539292015871865,-0.04530922197229737,0.27551028247614207,-0.042490729204789135,-0.08606050662463278,0.01089581638396607,-0.01971543831108934,0.003764538445613807,0.0032338627667908818,-0.03004085969556308,0.004137732736822749
fanfiction,0.9328808800726406,-6.030585975368505,5.542405310016205,-0.42619219542892944,1.528303269975974,0.12408563757468587,0.1068329657203056,0.6021378539191262,-0.11171904289480761,-0.16142830115477896,0.017152289906459107,-0.18774928765316404,-0.06835483624013165,-0.07592040454751281,-0.02569967607215964,0.026919523146273303,0.016531655619693084,0.016010412001989393,0.009286400348596496
