DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
shoes,-0.2702914654787626,-0.3989471941184439,-0.6005946282894817,-0.09334641552914803,0.03987287178105097,-0.03315761209248181,-0.17229126981002688,-0.13915181866728743,0.0265267743513312,-0.09061176702837548,-0.05648109153441827,0.003942889393090944,-0.09068747857803403,0.09546800689826485,-0.04897821076435665,0.026594302282523852,-0.0021400639116677094,-0.00099645462414591,-0.017828018342429957
acting,-0.8094664064978502,-0.7424742041190557,-2.377235880773996,0.24338518636083792,1.4490760935555933,-0.57915344320749,0.577550172815325,-0.041386292139707945,-0.29741479631148404,-0.0024648481071317873,-0.13963142392242,0.19444638256581534,-0.04427640476045401,-0.05208350902231918,0.023286460120560543,0.0226533074819677,0.0018434762177316172,0.01187467034817532,-0.03884118864796917
philosophy,1.8512675063451978,-1.6835565671395671,-0.6399923612223508,0.16011026831092176,-0.4435743948698666,0.2462403966241272,0.02676428678968409,-0.10601569664791372,0.0033867130733387435,0.05091393679339845,0.009733276839413465,-0.12357394549779688,-0.00475558260795934,-0.05174313522560255,-0.028021682508848525,-0.043531358742923035,0.020646884905632754,-0.017605033666705846,-0.0007191970890316159
swimming,-3.666338401230429,2.9603467630653384,0.28016045404059753,0.2771137987423666,-0.01629521548832716,-0.13341039583085074,0.0873106604856653,0.06282548932252689,-0.034233651554224004,-0.01720020597960388,0.004114741720441165,-0.050927469236702126,-0.017114603367880336,-0.027929708352422495,0.030123985429595723,0.04897689655873112,0.06319224824348801,0.017216192783796443,0.00967954957970411
hugs,2.0434701197727514,0.33951871611871914,-2.118676675095869,0.20780367765588953,0.14132436590331907,-0.10665143865601037,-0.2654453658510194,0.10414363146595308,-0.11582449180215283,0.03606397466646996,-0.002871079215166606,0.09984512262313723,-0.0526273594547365,-0.06834601818778735,0.005190614531052459,0.04583528832039687,0.02801582084780696,-0.019301270941094514,0.03312546412116709
sex,4.267340738622874,-3.019627146567633,-2.14744153309448,-0.5428891241943437,0.6556075186777939,0.5461213081160962,0.15658906500781333,0.03131751981029354,0.2894792588162998,0.08615681811347348,0.20263622266159015,0.0035848332993228837,0.04126018665968866,0.009173417266104697,0.0493270400876774,0.021035621046405585,0.02202609317193564,-0.01706488225971233,-0.014731292882375844
guys,-6.012727352978974,1.076560336820991,0.2524144570079544,-0.23070187778692047,0.10303944447446628,0.12220323840106827,-0.10073207738366623,-0.01723346525429544,-0.0915036634803825,-0.12402739025403077,0.09786148309939867,0.014844222156314585,0.08127194795702918,0.01895018525146687,0.018666373433981878,0.04983114826062853,0.009900683799236979,0.024915869658544126,-0.0021649028486961917
love,6.344968002867998,1.1052757151267796,-1.4467082420494175,-0.830295715707499,0.41534078742939795,0.37719248146830076,-0.13266229229519286,0.11929863500147171,-0.05647197473191446,-0.10178851035452786,-0.12264304922884733,0.11865778713996887,0.06778926851225171,0.021360019152348114,-0.010772817992353488,0.03158908895344595,0.009702954767673229,-0.00517656674593529,0.019028685024489126
internet,-0.8101094086950501,-1.9725503209426511,0.6749649366950554,-0.14433639134492673,0.16289057171793792,-0.24065290118752888,0.0027700082973434728,-0.33587447977853885,-0.1257524287100956,0.10319727422100716,0.0802446287540707,0.012742650572823266,0.12017552568898993,-0.10385051490886832,0.03295421217122847,0.033886433512579486,-0.012440791218436687,0.027366141637534373,-0.022419704769027268
travel,0.011438933300617564,-3.2582497247994433,-0.3151274836372064,0.7352494837050249,-0.5531591964787498,0.14868140335221244,0.07996590957644935,-0.019735504444134012,0.045327741009169815,-0.027844849941876863,-0.09211187373943207,-0.09076773082900856,-0.005174341875965362,-0.044266682183609934,0.000615019536646716,0.025855884871552135,-0.0029032776533957833,0.0314629363491132,-0.00952431681541274
