DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
acting,-0.6159890422015097,-1.6514992482568334,-1.8262349892181446,-0.3809210993617249,1.0519057324139152,-0.06869520231478138,-0.04790926184929869,0.5770286445934291,0.16575092440327577,0.08737975039931412,-0.1812874116040045,0.1535303449303014,-0.09483036194105651,0.15837303637638547,0.009799219549316115,-0.007480845074111116,0.007043100984821753,0.0053762445670497835,0.002348499443707254,0.024070550225107044
animals,-1.0225925379106737,-0.8089288049727726,1.040920231001371,0.6001394519331317,-0.16001060175318735,0.4703506962245592,-0.0672655761121621,-0.20909653162445743,0.06797756794960809,-0.1659611947579698,-0.05655590534850538,0.017811475973498504,-0.1296394121170527,-0.015604525379062826,-0.010875227248391454,-0.01032213339756829,-0.004233468086083477,0.030203490623105927,0.024119976160182854,-0.03957938004565832
anime,3.156978401814319,1.2085976414309216,2.7602773605645297,0.7300882602438293,0.6756069426944372,0.39533993426806974,0.03405596652401344,0.451278106133033,-0.05105325659906989,0.610135347173698,0.10789907097347379,-0.06232587220308774,-0.014894261838204746,0.016733898601900388,0.08505141307873977,-0.014628795448394996,0.01225654648878995,-0.025649357425393433,0.006908724207416587,-0.0010278930312821815
art,5.939951217472774,1.6750597045055975,0.7682557274660102,-0.4919371356675485,-0.6299909988686994,0.07685693734751496,0.5010993957322155,0.4269332415558133,0.23851921596993772,0.04115351772654746,-0.09775432854967023,0.05830752913968859,0.03566938813889649,-0.06061101448219667,0.08685809900634359,0.020026361837141335,0.005251151675483271,-0.03994269895709666,-0.021626237877491395,-0.0008446268608058618
basketball,-7.661066371108394,-0.7101824557836794,-0.015134247551638735,0.16707059316988934,0.3461681214057659,-0.17919231182425419,-0.1655430256175477,0.09111538064252869,-0.010636627034055978,-0.16779492514789937,-0.014085172469207914,0.04336562804640641,0.01882392842613273,-0.016785354579805376,-0.03050255404935259,0.047577186076143516,-0.010891271506706495,0.014342268468118483,-0.049720336927027216,-0.03377548108778562
biking,-6.1377891375591584,-0.7861354684131205,0.5717667493800189,0.5635649544044057,-0.5006489725064478,-0.4797864503680202,0.17921327292035202,-0.20404350534456558,-0.012160377031450103,0.08990951219535818,0.01753588493199635,0.11265710357396794,-0.03757209909398713,0.05583853855628298,0.06378731366519434,-0.04625004958865309,-0.017031646936021917,0.031551731757855736,0.008522727291207996,0.006926756456368797
books,8.718856797089563,0.5933886165543311,-0.5769810176679602,0.31355754520962914,0.2572393815132529,-0.37566504447181304,-0.21307713908715947,0.1531839684706958,-0.052515836370078284,-0.13516976403137418,-0.024837548065547752,-0.01744691046374966,-0.02753269278782836,-0.06849416930412511,-0.03917422822716628,0.036009176688547556,0.07440710531621104,-0.024917937731389204,-0.020130084144014102,0.006836744561928447
boys,-3.5413745763216706,1.1880259438596206,-0.7530233989454911,-0.6183236970525795,0.5545163986609145,-0.15009352489468789,0.4038912769994827,-0.16196780894882898,0.24680355108690918,0.11877668489116915,0.01221147651733173,-0.10016541808458841,0.007950198803911285,-0.005330938480288347,-0.1199564200284455,0.01667095808147287,-0.006831243145124446,0.00757025170679371,0.014489823727235543,0.02219215961104676
camping,-2.6428689664652736,-1.2735911639864121,-0.4371212121390866,1.1084850324429296,-0.4202137124146557,0.15163620080689566,0.14848777330205984,0.12438532432303681,-0.12871502211703273,-0.0656915251529641,0.013706071732934618,-0.0914806467970501,-0.05058056358344185,0.02291612242529313,0.034457659511014836,-0.001919431530686928,-0.02383689439605055,0.006320872548702824,0.021004065520083916,0.05058955913160016
candles,0.27151138090584825,-0.8167105670429503,0.19331238218971897,-0.2147858619960486,-0.5448490376463359,0.22892769707095745,-0.0889487245049468,-0.20584765645704187,0.01950106756008466,0.08313985197687272,0.13111962410542027,-0.06177374171886866,-0.10084228036272036,0.07376943352362648,0.0694075473110669,-0.008793675702865088,0.03734469800493911,-0.024856377750783237,-0.002943444148715632,-0.022498095727819314
