DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
shoes,-0.5934644069553752,-0.3937319724294775,-0.09967587384980164,-0.4301624791719981,-0.09340237423013298,-0.10531722124580489,-0.148149402687774,0.10088940959258194,-0.02122126650293576,-0.03526398347532656,-0.07477346523098244,0.09121521765314594,0.0819732483076931,-0.024618251938886622,-0.005327738019253676,0.0005604447041668747,0.001855326011888743,0.023164535987716468,0.00482964439025323
acting,-0.8408484757253417,-1.1861306770276148,-1.6154801300880584,-0.7826430953387749,0.7463290413649566,-0.055437956288094434,0.5637780514514225,0.09423097988315023,0.10803932990382557,-0.1384371851592161,0.1437823430284008,-0.11234533313596226,0.12678349581671777,0.010144636258259662,0.0056078690810139,0.00028448869049748824,-0.010630313607300683,-0.005240457181581904,0.02309204232418974
philosophy,2.027625946811848,-1.6486798109251746,-0.37084116698349956,0.8119763325070148,-0.34684689245569944,0.1654800683485565,0.030992403937451864,-0.04323053386006219,0.11984645030495988,0.03816122630726064,-0.08496314459561581,-0.0413161324903563,-0.095887796938816,-9.087220494175755e-05,-0.043017395697932,0.02043934799818392,-0.022939873898737043,-0.003778755957122985,0.016733339020343886
swimming,-4.153414873025277,2.4042059703489267,-0.19650208289611776,0.3186441848741477,0.23221648297504097,-0.044920085185089,-0.039831720823933686,-0.03496306446113029,-0.010017330652786205,0.05102216647296724,-0.042444598907739155,-0.02632332410041806,-0.006876885843060157,-0.01932947382983076,0.010051707848696547,-0.0403566409778283,-0.010545260317201656,0.021646680147628588,0.0007921186456420261
hugs,1.5833123891043677,0.12590541092216043,-1.4629230335254362,-0.5753626817747823,0.03883217673423146,-0.15069641177492749,-0.2200014519653207,-0.08148907908629557,0.11757745215080567,0.04799119963520503,0.0038535691924156987,-0.023121633223478214,0.032615684959557766,-0.054922758215589694,-0.017199880664037503,-0.05609965082312237,0.0013072343432104598,-0.019002214695914874,-0.018627817753588283
sex,4.114505347409822,-2.7243680426669052,-0.9237647119954155,-0.5336944619792808,-0.3924069721867156,0.7247949711243171,0.16500042088343161,0.17715603372932454,-0.19672655004682182,0.11313832267681051,0.008843771728519072,-0.010321322043205045,0.028074777245338602,0.036248606834719393,0.0011003178742682801,-0.009520099703263967,-0.03369030655347032,-0.0172428685242892,0.010478787240382715
guys,-6.413272470852164,0.33960948556420434,0.2812664275513344,-0.18417633829587554,0.02544837926543169,0.20880643288312692,-0.07817563534044744,0.06617942144222141,0.040380794023415614,0.0902280706742639,-0.08092628893358034,-0.09777201712247864,-0.0008285403582207349,0.049382113173887715,0.05150524488961779,-0.04514718801329529,-0.010918813002713884,0.00897559752793771,0.011352940310596759
love,5.008778178682151,1.6172201550906422,-0.5140660688829078,-1.0124611729644692,-0.5732605422581731,0.39699379384168604,-0.12203029516804786,-0.12621033123951464,0.048818528203494894,-0.18823627744122715,-0.0496082625829258,-0.055474263516701185,0.027537943424707504,0.05829909163430591,0.001772316506593166,-0.019457471867485244,0.01354320137377553,0.009690197778029576,-0.019820830367322184
internet,-0.4663058662410299,-1.8035902491328788,0.8306391561284259,-0.1274770670986918,0.1343043764931153,-0.22756271968565342,-0.12613883580475008,0.22405790097279965,0.1933196884988434,0.0242730207614138,0.12716274234910296,-0.11277911019548172,0.00441529980763327,-0.018370713635368928,0.04349442396417171,-0.02096172167730467,-0.0020748839085390873,0.006843362966217384,0.008729187418376664
travel,2.2013397332996254,-3.414915971670078,-0.9591681829617582,0.9378950865294003,0.13386926336354063,-0.010486223952611097,0.058016215486402595,0.06691535380105162,-0.00772406658580804,-0.0014044441494848385,-0.015446276138270957,0.02734197252134086,-0.016980777667840792,-0.05631827306983657,0.020602745156449644,-0.019765973098615542,0.026760817497543908,0.017842568702765616,0.008108020321242743
