DOIs,degrees_1,degrees_2,page_rank_1,bfs_moments_1,bfs_moments_2,closeness_1,kcore_1,motifs_3_2,motifs_3_3,motifs_3_4,motifs_3_5,motifs_3_6,motifs_3_7,motifs_3_8,motifs_3_9,motifs_3_10,motifs_3_11,motifs_3_12,motifs_3_13
shoes,0.04877197,0.048026315,0.056549786,0.036017269,0.064274584,0.032468033,0.042108636,0.01312985,0.00882422,0.029764615,0.014013983,-0.002378684,0.009598776,0.0379299,0.051609866,-0.006033257,0.001521671,0.009288268,0.026766456
acting,0.044531691,0.048281585,0.05794114,0.043419533,0.063619298,0.019171379,0.036471957,-0.000644307,0.005423293,0.025688,0.009336383,-0.000434712,0.014163403,0.033885212,0.047225773,-0.000902725,0.00699119,0.010347789,0.033100453
philosophy,0.056428474,0.054505046,0.05806198,0.027906167,0.064494042,0.059194178,0.05013419,0.026641925,0.021699028,0.041952772,0.032540394,0.008255332,0.018088306,0.050849477,0.05934677,-0.006044626,0.002078339,0.017555706,0.026073755
swimming,0.037086966,0.042393581,0.067232494,0.052090325,0.065911638,-0.005780175,0.023432146,-0.027703271,-0.022489311,0.01581198,-0.016849287,-0.023257542,-0.00137286,0.018348155,0.050442559,-0.007985334,-0.00421361,-0.008991039,0.023355335
hugs,0.063800681,0.062205623,0.07674406,0.040687519,0.074045979,0.035841016,0.051734143,0.013379152,0.014213759,0.045147512,0.018248478,-0.001553492,0.016632808,0.048628887,0.067407223,-0.005752351,0.004623009,0.013358077,0.041183011
sex,0.06073452,0.069302484,0.059014743,0.023854556,0.079238006,0.067722562,0.062807414,0.038135498,0.040942222,0.048258708,0.047407395,0.020203923,0.022455492,0.06676865,0.064157777,-0.003850334,0.008814208,0.033279997,0.035306732
guys,0.018817933,0.027797499,0.043922672,0.036335853,0.044424001,-0.019543606,0.010714768,-0.027201547,-0.017027051,0.004875668,-0.017924092,-0.021122924,-0.00659055,0.007918697,0.028578916,-0.005955335,-0.002466248,-0.010034804,0.014809768
love,0.082168213,0.090670897,0.093055806,0.05427335,0.11334351,0.071310605,0.076265632,0.032490008,0.032611226,0.056606477,0.042103044,0.002778733,0.017849481,0.078109943,0.087570327,-0.008989838,0.004642877,0.023767285,0.046834684
internet,0.042572786,0.039298638,0.043471978,0.035847956,0.054697596,0.044836621,0.034100803,0.023931404,0.014189287,0.023801366,0.026332279,0.005828066,0.009074579,0.035313212,0.040070424,-0.005278937,-0.000505802,0.014380435,0.015035533
travel,0.044132022,0.04110906,0.039484647,0.016336152,0.041958737,0.054352455,0.039834988,0.02830883,0.01895007,0.032581282,0.031803941,0.012562864,0.020462217,0.03822734,0.044992397,-0.00409096,0.00095608,0.016131781,0.018598011
