DOIs,degrees_1,degrees_2,page_rank_1,bfs_moments_1,bfs_moments_2,closeness_1,kcore_1,motifs_3_2,motifs_3_3,motifs_3_4,motifs_3_5,motifs_3_6,motifs_3_7,motifs_3_8,motifs_3_9,motifs_3_10,motifs_3_11,motifs_3_12,motifs_3_13
shoes,0.048477924,0.047479374,0.056630557,0.035689782,0.064440197,0.032204632,0.041520918,0.013197716,0.008324531,0.029380104,0.013552626,-0.003104269,0.009209168,0.037577509,0.051182215,-0.006143886,0.001415417,0.0092538,0.026523661
acting,0.043921823,0.047696994,0.057691047,0.042754098,0.063650255,0.018761099,0.035594757,-0.000888583,0.004763538,0.024985002,0.008745891,-0.000968072,0.01394225,0.033283764,0.046604197,-0.000983574,0.006901949,0.010282282,0.032737109
philosophy,0.056016131,0.053891345,0.057868421,0.027381064,0.064717666,0.058882088,0.049476956,0.026540691,0.021148394,0.041515306,0.032029771,0.007773511,0.017431001,0.050418058,0.058827743,-0.006312751,0.002325049,0.017301785,0.025889523
swimming,0.03639467,0.041550572,0.067053379,0.051482864,0.065895826,-0.006251099,0.02242413,-0.027791389,-0.022903146,0.01503798,-0.017474448,-0.023805223,-0.001869245,0.017665004,0.049516645,-0.008004186,-0.004684531,-0.009395811,0.022814617
hugs,0.06329154,0.061666093,0.076607875,0.04030505,0.074407378,0.035458848,0.05100057,0.013247067,0.013654437,0.0445207,0.01758936,-0.002204316,0.016026933,0.048267715,0.066793902,-0.005769763,0.004279596,0.013338166,0.041002747
sex,0.060067587,0.068421938,0.058741374,0.023518064,0.080008244,0.067169428,0.061772054,0.037957429,0.040136974,0.047454135,0.046505751,0.019492212,0.021607017,0.066104502,0.063360186,-0.003914612,0.008712743,0.032484963,0.034962247
guys,0.018273136,0.027066376,0.043751482,0.035830232,0.044451206,-0.019973808,0.009836353,-0.027344614,-0.017554569,0.004128009,-0.018702233,-0.02163809,-0.007358468,0.007267128,0.02786317,-0.005972772,-0.002596409,-0.010393878,0.014430181
love,0.081407098,0.08966895,0.092828169,0.053440783,0.113685411,0.070751748,0.075067155,0.03238375,0.031863437,0.055646005,0.04105886,0.001732293,0.016836822,0.077448493,0.08657061,-0.009176551,0.004463402,0.023470973,0.046208015
internet,0.042168821,0.038670803,0.043359433,0.035096634,0.054408858,0.044571494,0.033420602,0.023935634,0.014024098,0.023275885,0.025716223,0.005412413,0.008677172,0.035042585,0.039406322,-0.005842783,-0.000813865,0.014052412,0.01460186
travel,0.044018111,0.040831333,0.039568649,0.015852779,0.041994286,0.05415783,0.039484819,0.028407789,0.018822753,0.032390823,0.031555387,0.01216013,0.019915856,0.038083046,0.044700711,-0.004488024,0.000980663,0.016237309,0.018586223
drawing,0.054853218,0.048361513,0.065389196,0.055914674,0.087790471,0.056234115,0.040247524,0.017870125,0.001949502,0.025882501,0.021360396,-0.007408866,0.003501516,0.042512871,0.0572955,-0.010255863,-0.007033991,0.007171802,0.015332932
radiohead,0.062127048,0.05856734,0.067068067,0.021008316,0.06307819,0.051912213,0.054419798,0.023172534,0.023021301,0.049340012,0.027040531,0.001766047,0.015841697,0.055994858,0.070240573,-0.00441496,0.005974175,0.018875656,0.037291057
