DOIs,Traits
love,Openness to Exp.
poetry,Openness to Exp.
literature,Openness to Exp.
sleep,Neuroticism
life,Neuroticism
sleeping,Neuroticism
internet,Extraversion
drawing,Extraversion
fantasy,Extraversion
books,Extraversion
video games,Extraversion
anime,Extraversion
manga,Extraversion
reading,Extraversion
computers,Extraversion
tv,Conscientiousness
cats,Conscientiousness
movies,Conscientiousness
sex,Agreeableness
drinking,Agreeableness
laughing,Agreeableness
sex,Extraversion
